text	user_id	find_texts	find_modids
Здравствуйте! По какому КОСГУ и КВР уплачивается выплата по сокращению государственного гражданского служащего в размере четырех месячного денежного содержания при организационно-штатных мероприятиях (сокращение ставки в штатном расписании) (Выплата компенсации в размере четырехмесячного денежного содержария госслужащему по какому косгу и квр оплата)?	5136834	No	No
"Добрый день! Подскажите пожалуйста по какому КОСГУ отражать расходы 224 или 225:
учреждение возмещает арендодателю расходы по содержанию помещений (тек. и кап.ремонт) по имуществу, полученному в безвозмездное пользование"	19616231	No	No
Здравствуйте! По какому квр и косгу бюджетному учреждению оплатить расходы на приобретение рубильника (приобретаем взамен вышедшего из строя)	19607631	No	No
Добрый день. Подскажите, пожалуйста, по каким квр и косту оплачиваются начисления взносы и НДФЛ начисленные на выплаченные денежные средства на питание сотруднику в командировке? (питание в командировке оплачено с квр 112 косгу 226)	3605828	No	No
Добрый день! По какому КОСГУ оплатить штраф за несоответствие санитарным нормам воды?	17078038	['штраф']	['86/287439']
Доброе утро! Подскажите, пожалуйста, по какому КВР и КОСГУ оплатить административный штраф Роспотребнадзора за некачественную воду, выписанный Главе администрации поселения?	10134053	['штраф']	['86/287439']
Добрый день,подскажите какой будет косгу на подключение ПК?	17310439	No	No
Добрый день, Подскажите пожалуйста на какое КОСГУ отнести найм трактора, который будет производить земляные работы на территории учреждения.	12401494	No	No
по какому КОСГУ провести расхды по замена принтера в тахографе?	15220276	['провод']	['12/347516']
Огнезащитная обработка деревянных конструкций чердачных помещений зданий КОСГУ?	2812909	['обработка']	['12/347542']
"здравствуйте. Автономное учреждение. Как начислить и выплатить премию сотруднику, который уже уволился?
какими проводками отразить КОСГУ, КВР"	365740	['провод']	['12/347516']
добрый день! Подскажите к какому КОСГУ следует отнести счетчик воды	3737799	['счетчик вода']	['12/347478']
Доброе утро, подскажите, пожалуйста, по какому косгу оплатить услуги по демонтажу драйкуллеров в холодильном оборудование?	18955546	['монтаж']	['12/347479']
на каком косгу учитывать кастрюля, доска разделочная?	773198	['доска']	['12/347516']
Добрый день, мы Бюджетное учреждение, к нам зашел Исполнительный лист где с нас взыскивают расходы за оплату услуг представителя. По какой ВР и КОСГУ оплачивать?	20882369	No	No
жесткий диск SATA -3 3Tb какое косгу?	5372337	No	No
